Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,13.423700,13.539300,13.341900,13.452600,12.802352,5935787
2018-01-03,13.491100,13.601800,13.428500,13.534400,12.880198,4698280
2018-01-04,13.707800,14.194100,13.703000,14.145900,13.462141,13841583
2018-01-05,14.203700,14.314400,14.035200,14.121900,13.439301,5321832
2018-01-08,14.319300,14.454100,14.271100,14.275900,13.585857,8049953
2018-01-09,14.333700,14.410700,14.223000,14.338500,13.645432,4866014
2018-01-10,14.348200,14.632200,14.338500,14.598500,13.892864,8360341
2018-01-11,14.632200,14.820000,14.449300,14.670700,13.961574,6343221
2018-01-12,14.718900,14.743000,14.555200,14.656300,13.947869,5578335
2018-01-15,14.709300,14.791100,14.598500,14.718900,14.007444,4608672
2018-01-16,14.733300,14.805600,14.675600,14.694800,13.984509,4663947
2018-01-17,14.603300,14.632200,14.405900,14.632200,13.924935,6772167
2018-01-18,14.641900,14.704400,14.516700,14.704400,13.993645,4516811
2018-01-19,14.665900,14.791100,14.588900,14.641900,13.934166,3697878
2018-01-22,14.661100,14.911500,14.463700,14.868100,14.149432,6437829
2018-01-23,14.925900,14.930700,14.670700,14.757400,14.044083,4442942
2018-01-24,14.757400,14.916300,14.704400,14.733300,14.021149,4934200
2018-01-25,14.685200,14.901800,14.670700,14.882600,14.163232,5274904
2018-01-26,14.858500,14.882600,14.776700,14.848900,14.131161,3849152
2018-01-29,14.916300,14.964400,14.824800,14.839300,14.122025,3842159
2018-01-30,14.791100,14.795900,14.502200,14.613000,13.906663,5373393
2018-01-31,14.593700,14.694800,14.526300,14.613000,13.906663,5128627
2018-02-01,14.699600,14.873000,14.497400,14.656300,13.947869,4321298
2018-02-02,14.622600,14.646700,14.377000,14.478200,13.778378,5867682
2018-02-05,14.348200,14.531100,14.174800,14.271100,13.581289,7325539
2018-02-06,13.741500,14.203700,13.625900,13.804100,13.136862,12435113
2018-02-07,13.963000,14.160400,13.717400,14.040000,13.361360,9222950
2018-02-08,13.996700,14.150700,13.784800,13.818500,13.150566,8338435
2018-02-09,13.770400,13.842600,13.279300,13.481500,12.829855,12706405
2018-02-12,13.674100,13.789600,13.438200,13.486300,12.834424,7251405
2018-02-13,13.476700,13.529600,13.390000,13.447800,12.797784,6096477
2018-02-14,13.144400,13.341900,12.889300,13.067400,12.435771,18119714
2018-02-15,13.192600,13.341900,12.990400,13.091500,12.458707,8585865
2018-02-16,13.144400,13.183000,12.975900,13.120400,12.486210,6955176
2018-02-19,13.187800,13.269600,13.163700,13.163700,12.527417,4080614
2018-02-20,13.404400,13.457400,13.279300,13.351500,12.706139,7444464
2018-02-21,13.428500,13.529600,13.332200,13.476700,12.825287,4849108
2018-02-22,13.423700,13.592200,13.370700,13.524800,12.871062,6304463
2018-02-23,13.491100,13.548900,13.390000,13.433300,12.783985,4277090
2018-02-26,13.481500,13.544100,13.452600,13.452600,12.802352,3900726
2018-02-27,13.486300,13.712600,13.467000,13.650000,12.990211,6070116
2018-02-28,13.592200,13.765600,13.592200,13.611500,12.953571,5621095
2018-03-01,13.577800,13.606700,13.385200,13.515200,12.861926,5197551
2018-03-02,13.399600,13.418900,13.077000,13.192600,12.554920,9281860
2018-03-05,13.139600,13.264800,13.000000,13.048200,12.417500,6617939
2018-03-06,13.197400,13.337000,13.163700,13.226300,12.586991,5565465
2018-03-07,13.221500,13.221500,13.091500,13.115600,12.481641,6081341
2018-03-08,13.149300,13.260000,13.062600,13.154100,12.518281,6613126
2018-03-09,13.154100,13.187800,13.033700,13.125200,12.490778,4167447
2018-03-12,13.197400,13.245600,13.158900,13.211900,12.573287,3351462
2018-03-13,13.245600,13.351500,13.101100,13.139600,12.504481,6106742
2018-03-14,13.125200,13.192600,12.937400,12.990400,12.362494,5028909
2018-03-15,13.057800,13.101100,12.947000,13.053000,12.422068,4601637
2018-03-16,13.057800,13.279300,13.057800,13.197400,12.559487,7335479
2018-03-19,13.207000,13.298500,13.024100,13.110700,12.476978,4801843
2018-03-20,13.130000,13.288900,13.130000,13.173300,12.536552,5209896
2018-03-21,13.168500,13.202200,12.966300,13.081900,12.449571,5116322
2018-03-22,13.000000,13.115600,12.701500,12.884400,12.261618,9571742
2018-03-23,12.749600,12.749600,12.581100,12.677400,12.064622,7277288
2018-03-26,12.701500,12.754400,12.566700,12.653300,12.041688,5492917
2018-03-27,12.850700,12.894100,12.706300,12.740000,12.124196,4691270
2018-03-28,12.590700,12.764100,12.465600,12.764100,12.147132,5975796
2018-03-29,12.826700,12.903700,12.715900,12.715900,12.101262,5378446
2018-04-03,12.614800,12.783300,12.614800,12.735200,12.119629,5205177
2018-04-04,12.754400,12.773700,12.441500,12.653300,12.041688,5572772
2018-04-05,12.870000,12.985600,12.855600,12.908500,12.284552,6597605
2018-04-06,12.870000,12.889300,12.687000,12.744800,12.128764,6671318
2018-04-09,12.802600,12.879600,12.663000,12.696700,12.082990,4486777
2018-04-10,12.793000,12.817000,12.638900,12.768900,12.151700,6120505
2018-04-11,12.740000,12.764100,12.653300,12.720700,12.105830,4796216
2018-04-12,12.740000,12.913300,12.720700,12.841100,12.220409,4981376
2018-04-13,12.836300,13.053000,12.807400,12.889300,12.266280,3982304
2018-04-16,12.894100,12.975900,12.889300,12.908500,12.284552,3153904
2018-04-17,12.937400,13.009600,12.918100,12.918100,12.293689,4336573
2018-04-18,12.918100,12.985600,12.898900,12.951800,12.325760,3134068
2018-04-19,12.961500,13.028900,12.908500,13.000000,12.371630,3343307
2018-04-20,13.024100,13.130000,12.985600,13.081900,12.449571,4383979
2018-04-23,13.072200,13.245600,13.072200,13.207000,12.568624,4922365
2018-04-24,13.207000,13.235900,13.139600,13.235900,12.596127,4000184
2018-04-25,13.192600,13.221500,13.043300,13.115600,12.481641,3651214
2018-04-26,13.115600,13.178200,13.019300,13.120400,12.486210,3919498
2018-04-27,13.120400,13.226300,13.053000,13.168500,12.531984,5002518
2018-04-30,13.154100,13.255200,13.096300,13.130000,12.495346,4671383
2018-05-02,13.096300,13.178200,13.048200,13.115600,12.481641,4227171
2018-05-03,13.105900,13.105900,12.821800,12.884400,12.261618,5100993
2018-05-04,12.797800,12.971100,12.740000,12.932600,12.307487,5648343
2018-05-07,12.985600,12.985600,12.831500,12.947000,12.321191,2663768
2018-05-08,12.951800,13.019300,12.817000,12.908500,12.284552,4356559
2018-05-09,12.937400,13.048200,12.937400,12.942200,12.316623,4212489
2018-05-10,12.966300,13.014400,12.855600,12.927800,12.302919,3016865
2018-05-11,12.927800,12.990400,12.898900,12.971100,12.344126,4240176
2018-05-14,13.000000,13.004800,12.793000,12.913300,12.289120,6590078
2018-05-15,12.720700,13.260000,12.691800,13.062600,12.431204,9485947
2018-05-16,13.077000,13.158900,12.865200,12.995200,12.367062,7284530
2018-05-17,13.000000,13.173300,13.000000,13.120400,12.486210,9816073
2018-05-18,13.115600,13.158900,12.874800,12.937400,12.312055,12957640
2018-05-21,12.985600,13.062600,12.937400,13.033700,12.403701,5952796
2018-05-22,13.045000,13.410000,13.010000,13.260000,13.260000,10374941
2018-05-23,13.230000,13.265000,12.980000,13.095000,13.095000,8898903
2018-05-24,13.120000,13.125000,12.705000,12.785000,12.785000,10545032
2018-05-25,12.800000,12.825000,12.540000,12.660000,12.660000,9150669
2018-05-28,12.780000,12.845000,12.220000,12.450000,12.450000,10422035
2018-05-29,12.290000,12.290000,11.805000,12.040000,12.040000,19523584
2018-05-30,12.000000,12.085000,11.715000,11.885000,11.885000,14761668
2018-05-31,12.000000,12.080000,11.610000,11.740000,11.740000,14996794
2018-06-01,11.905000,12.205000,11.890000,12.055000,12.055000,14645525
2018-06-04,12.200000,12.285000,12.075000,12.155000,12.155000,8137459
2018-06-05,12.175000,12.255000,11.895000,11.905000,11.905000,8533422
2018-06-06,11.940000,12.005000,11.675000,11.910000,11.910000,8390212
2018-06-07,11.995000,12.245000,11.930000,11.985000,11.985000,7134471
2018-06-08,11.905000,11.940000,11.805000,11.890000,11.890000,6013127
2018-06-11,11.995000,12.160000,11.985000,12.080000,12.080000,8700900
2018-06-12,12.135000,12.155000,12.000000,12.105000,12.105000,5968996
2018-06-13,12.100000,12.170000,11.995000,12.035000,12.035000,5259770
2018-06-14,11.990000,12.130000,11.895000,12.050000,12.050000,7320819
2018-06-15,12.050000,12.095000,11.725000,11.825000,11.825000,15041771
2018-06-18,11.775000,11.905000,11.715000,11.785000,11.785000,5461026
2018-06-19,11.665000,11.825000,11.535000,11.775000,11.775000,6228022
2018-06-20,11.865000,11.895000,11.695000,11.695000,11.695000,9088164
2018-06-21,11.730000,11.740000,11.545000,11.635000,11.635000,7328609
2018-06-22,11.705000,11.825000,11.685000,11.760000,11.760000,5391480
2018-06-25,11.685000,11.745000,11.550000,11.620000,11.620000,5392261
2018-06-26,11.660000,11.675000,11.505000,11.530000,11.530000,5027928
2018-06-27,11.505000,11.585000,11.295000,11.500000,11.500000,7873839
2018-06-28,11.450000,11.505000,11.355000,11.400000,11.400000,6885992
2018-06-29,11.550000,11.645000,11.430000,11.435000,11.435000,8575918
2018-07-02,11.350000,11.395000,11.105000,11.380000,11.380000,7000096
2018-07-03,11.355000,11.530000,11.270000,11.420000,11.420000,6019562
2018-07-04,11.385000,11.490000,11.340000,11.390000,11.390000,6270337
2018-07-05,11.385000,11.725000,11.385000,11.535000,11.535000,8896993
2018-07-06,11.600000,11.625000,11.430000,11.510000,11.510000,5757861
2018-07-09,11.575000,11.705000,11.560000,11.610000,11.610000,6445974
2018-07-10,11.650000,11.695000,11.485000,11.560000,11.560000,6025605
2018-07-11,11.485000,11.490000,11.335000,11.360000,11.360000,7799846
2018-07-12,11.400000,11.400000,11.240000,11.300000,11.300000,6929650
2018-07-13,11.345000,11.475000,11.320000,11.425000,11.425000,7125071
2018-07-16,11.395000,11.570000,11.375000,11.470000,11.470000,5497533
2018-07-17,11.465000,11.580000,11.395000,11.465000,11.465000,5370432
2018-07-18,11.490000,11.500000,11.365000,11.445000,11.445000,5580605
2018-07-19,11.420000,11.535000,11.405000,11.435000,11.435000,4780071
2018-07-20,11.400000,11.465000,11.260000,11.430000,11.430000,5802301
2018-07-23,11.395000,11.510000,11.335000,11.500000,11.500000,4063425
2018-07-24,11.550000,11.685000,11.530000,11.630000,11.630000,6769962
2018-07-25,11.640000,11.675000,11.500000,11.570000,11.570000,4660520
2018-07-26,11.645000,11.705000,11.605000,11.635000,11.635000,5759083
2018-07-27,11.635000,11.895000,11.635000,11.780000,11.780000,6304480
2018-07-30,11.750000,11.920000,11.730000,11.900000,11.900000,5060149
2018-07-31,11.845000,12.140000,11.845000,12.015000,12.015000,8920833
2018-08-01,12.070000,12.140000,11.970000,11.980000,11.980000,6142904
2018-08-02,11.960000,11.970000,11.855000,11.950000,11.950000,6877084
2018-08-03,12.360000,12.435000,12.055000,12.225000,12.225000,12562631
2018-08-06,12.300000,12.440000,12.245000,12.335000,12.335000,9018160
2018-08-07,12.395000,12.590000,12.370000,12.490000,12.490000,8318253
2018-08-08,12.490000,12.525000,12.390000,12.440000,12.440000,5485913
2018-08-09,12.425000,12.445000,12.305000,12.430000,12.430000,3850975
2018-08-10,12.305000,12.330000,12.030000,12.175000,12.175000,11331405
2018-08-13,12.045000,12.085000,11.890000,12.030000,12.030000,9174079
2018-08-14,12.065000,12.140000,11.755000,11.830000,11.830000,8820624
2018-08-15,11.914000,11.986000,11.654000,11.732000,11.732000,7450372
2018-08-16,11.798000,11.912000,11.660000,11.838000,11.838000,6004883
