Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,14.340000,14.400000,14.150000,14.230000,13.487707,4784430
2018-01-03,14.250000,14.300000,14.100000,14.290000,13.544578,5666606
2018-01-04,14.310000,14.585000,14.285000,14.515000,13.757841,5665448
2018-01-05,14.515000,14.625000,14.500000,14.595000,13.833668,5086093
2018-01-08,14.645000,14.700000,14.615000,14.690000,13.923712,4068532
2018-01-09,14.690000,14.790000,14.590000,14.680000,13.914234,6225347
2018-01-10,14.665000,14.760000,14.625000,14.650000,13.885798,7537815
2018-01-11,14.705000,14.770000,14.645000,14.670000,13.904756,5333467
2018-01-12,14.745000,14.750000,14.465000,14.560000,13.800494,5379458
2018-01-15,14.580000,14.590000,14.455000,14.485000,13.729405,4837624
2018-01-16,14.515000,14.775000,14.505000,14.660000,13.895277,5236307
2018-01-17,14.660000,14.670000,14.460000,14.550000,13.791016,4891921
2018-01-18,14.560000,14.575000,14.320000,14.435000,13.682014,6283301
2018-01-19,14.445000,14.450000,14.315000,14.420000,13.667796,5834533
2018-01-22,14.385000,14.510000,14.365000,14.450000,13.696231,4745601
2018-01-23,14.505000,14.530000,14.240000,14.410000,13.658318,5660417
2018-01-24,14.210000,14.255000,14.020000,14.175000,13.435576,11289762
2018-01-25,14.175000,14.275000,13.985000,14.070000,13.336053,5524293
2018-01-26,14.050000,14.115000,13.955000,13.995000,13.264966,6494080
2018-01-29,13.985000,14.030000,13.905000,14.030000,13.298141,3538306
2018-01-30,14.000000,14.000000,13.870000,13.895000,13.170183,7044455
2018-01-31,13.930000,13.980000,13.820000,13.980000,13.250748,7146331
2018-02-01,14.045000,14.140000,13.765000,13.840000,13.118052,7860675
2018-02-02,13.790000,13.790000,13.505000,13.575000,12.866875,8183618
2018-02-05,13.600000,13.710000,13.325000,13.370000,12.672568,9769249
2018-02-06,12.980000,13.260000,12.905000,13.030000,12.350305,14246308
2018-02-07,13.175000,13.235000,12.995000,13.175000,12.487741,8127838
2018-02-08,13.035000,13.055000,12.785000,12.845000,12.174955,11565259
2018-02-09,12.740000,12.805000,12.525000,12.635000,11.975909,11633224
2018-02-12,12.730000,12.845000,12.630000,12.655000,11.994865,6083467
2018-02-13,12.645000,12.665000,12.495000,12.495000,11.843212,6867514
2018-02-14,12.550000,12.750000,12.500000,12.615000,11.956952,7059561
2018-02-15,12.645000,12.645000,12.470000,12.525000,11.871646,6593753
2018-02-16,12.630000,12.815000,12.595000,12.650000,11.990127,7079071
2018-02-19,12.630000,12.650000,12.525000,12.585000,11.928517,3762774
2018-02-20,12.580000,12.685000,12.535000,12.615000,11.956952,4385630
2018-02-21,12.630000,12.720000,12.555000,12.700000,12.037518,6274772
2018-02-22,12.630000,12.880000,12.565000,12.815000,12.146519,7073714
2018-02-23,12.835000,13.040000,12.765000,12.975000,12.298173,7586501
2018-02-26,13.035000,13.095000,12.850000,12.960000,12.283957,6826414
2018-02-27,12.995000,13.130000,12.895000,13.070000,12.388217,7027313
2018-02-28,12.940000,13.025000,12.845000,12.875000,12.203389,7691351
2018-03-01,12.845000,12.940000,12.650000,12.740000,12.075432,9239767
2018-03-02,12.685000,12.700000,12.165000,12.270000,11.629950,11919883
2018-03-05,12.250000,12.600000,12.185000,12.600000,11.942735,11977737
2018-03-06,12.645000,12.710000,12.485000,12.625000,11.966431,9822254
2018-03-07,12.580000,12.650000,12.425000,12.645000,11.985388,8418930
2018-03-08,13.100000,13.310000,13.015000,13.130000,12.445088,13230841
2018-03-09,13.125000,13.300000,13.060000,13.175000,12.487741,6810018
2018-03-12,13.315000,13.540000,13.175000,13.190000,12.501958,8241305
2018-03-13,13.210000,13.265000,13.080000,13.130000,12.445088,6815107
2018-03-14,13.180000,13.350000,13.155000,13.310000,12.615699,5681477
2018-03-15,13.380000,13.520000,13.335000,13.450000,12.748395,7537513
2018-03-16,13.405000,13.575000,13.400000,13.540000,12.833700,13381026
2018-03-19,13.500000,13.510000,13.360000,13.445000,12.743656,5168235
2018-03-20,13.395000,13.475000,13.350000,13.460000,12.757874,4155623
2018-03-21,13.455000,13.565000,13.440000,13.565000,12.857396,4639481
2018-03-22,13.485000,13.575000,13.305000,13.470000,12.767352,7053792
2018-03-23,13.310000,13.385000,13.185000,13.255000,12.563567,7237951
2018-03-26,13.305000,13.415000,13.155000,13.260000,12.568307,5305722
2018-03-27,13.310000,13.340000,13.120000,13.200000,12.511436,6660865
2018-03-28,13.140000,13.550000,13.110000,13.545000,12.838440,7452485
2018-03-29,13.565000,13.685000,13.450000,13.555000,12.847919,7627228
2018-04-03,13.515000,13.710000,13.500000,13.665000,12.952181,5152248
2018-04-04,13.850000,13.865000,13.700000,13.795000,13.075398,7668881
2018-04-05,13.970000,14.040000,13.875000,14.000000,13.269706,6879254
2018-04-06,14.010000,14.165000,13.980000,14.050000,13.317097,5268337
2018-04-09,14.000000,14.065000,13.895000,13.920000,13.193878,4735627
2018-04-10,13.950000,13.960000,13.715000,13.830000,13.108573,6098566
2018-04-11,13.815000,13.860000,13.770000,13.800000,13.080138,4056722
2018-04-12,13.985000,14.010000,13.870000,13.950000,13.222314,5680999
2018-04-13,13.970000,13.990000,13.865000,13.975000,13.246010,3740992
2018-04-16,13.970000,13.970000,13.825000,13.885000,13.160704,3477576
2018-04-17,13.915000,14.010000,13.900000,13.970000,13.241270,4913978
2018-04-18,13.970000,14.085000,13.960000,14.000000,13.269706,4529022
2018-04-19,13.985000,14.130000,13.955000,14.090000,13.355011,3975893
2018-04-20,14.105000,14.210000,14.060000,14.135000,13.397663,5064762
2018-04-23,14.135000,14.170000,14.000000,14.165000,13.426098,4089206
2018-04-24,14.155000,14.235000,14.070000,14.150000,13.411880,5517949
2018-04-25,14.100000,14.205000,14.045000,14.180000,13.440316,4054793
2018-04-26,14.165000,14.400000,14.115000,14.330000,13.582491,6699283
2018-04-27,14.345000,14.440000,14.345000,14.435000,13.682014,3352003
2018-04-30,14.395000,14.555000,14.370000,14.550000,13.791016,4690015
2018-05-02,14.545000,14.615000,14.465000,14.555000,13.795754,4643668
2018-05-03,14.550000,14.645000,14.530000,14.570000,13.809972,4678455
2018-05-04,14.750000,14.815000,14.640000,14.700000,13.933190,5696854
2018-05-07,14.700000,14.750000,14.680000,14.700000,13.933190,2357273
2018-05-08,14.690000,14.745000,14.590000,14.720000,13.952147,5628498
2018-05-09,14.640000,14.685000,14.510000,14.600000,13.838407,5687430
2018-05-10,14.590000,14.615000,14.510000,14.600000,13.838407,3352717
2018-05-11,14.585000,14.665000,14.535000,14.640000,13.876321,5115695
2018-05-14,14.630000,14.715000,14.600000,14.690000,13.923712,4180957
2018-05-15,14.745000,14.785000,14.595000,14.770000,13.999539,5811668
2018-05-16,14.600000,14.685000,14.220000,14.250000,13.506664,8855052
2018-05-17,14.275000,14.545000,14.275000,14.545000,13.786276,6088719
2018-05-18,14.535000,14.640000,14.475000,14.615000,13.852624,7552342
2018-05-21,14.595000,14.725000,14.555000,14.600000,13.838407,3100293
2018-05-22,14.300000,14.330000,14.085000,14.280000,13.867540,4971655
2018-05-23,14.255000,14.330000,14.130000,14.280000,13.867540,6208652
2018-05-24,14.230000,14.310000,14.110000,14.155000,13.746151,5502188
2018-05-25,14.200000,14.240000,13.825000,13.950000,13.547072,7010826
2018-05-28,14.020000,14.110000,13.765000,13.810000,13.411117,4525498
2018-05-29,13.705000,13.805000,13.505000,13.735000,13.338282,8380972
2018-05-30,13.715000,13.790000,13.640000,13.720000,13.323716,6406262
2018-05-31,13.790000,13.800000,13.460000,13.535000,13.144059,8718795
2018-06-01,13.625000,13.690000,13.510000,13.560000,13.168338,5799293
2018-06-04,13.620000,13.755000,13.565000,13.715000,13.318860,5567078
2018-06-05,13.500000,13.760000,13.485000,13.580000,13.187759,7831773
2018-06-06,13.565000,13.615000,13.450000,13.490000,13.100359,6546849
2018-06-07,13.550000,13.670000,13.520000,13.660000,13.265449,5459512
2018-06-08,13.620000,13.640000,13.475000,13.500000,13.110070,5147851
2018-06-11,13.545000,13.645000,13.480000,13.625000,13.231460,5323610
2018-06-12,13.715000,13.730000,13.625000,13.680000,13.284871,4350888
2018-06-13,13.640000,13.695000,13.560000,13.565000,13.173192,6198843
2018-06-14,13.470000,13.940000,13.445000,13.895000,13.493662,7374499
2018-06-15,13.915000,14.075000,13.875000,13.920000,13.517939,10107588
2018-06-18,13.820000,13.820000,13.250000,13.250000,12.867291,11001308
2018-06-19,13.135000,13.210000,13.060000,13.200000,12.818735,7307561
2018-06-20,13.405000,13.440000,13.150000,13.250000,12.867291,8063987
2018-06-21,13.265000,13.355000,13.125000,13.150000,12.770179,7002550
2018-06-22,13.130000,13.235000,13.060000,13.235000,12.852724,4463666
2018-06-25,13.105000,13.200000,13.025000,13.025000,12.648789,4650522
2018-06-26,13.075000,13.280000,13.075000,13.095000,12.716768,4133573
2018-06-27,13.080000,13.335000,13.025000,13.270000,12.886714,6168648
2018-06-28,13.210000,13.275000,13.070000,13.135000,12.755613,6227049
2018-06-29,13.250000,13.285000,13.130000,13.130000,12.750757,5564127
2018-07-02,13.050000,13.205000,12.985000,13.150000,12.770179,4456944
2018-07-03,13.160000,13.405000,13.105000,13.370000,12.983825,5083448
2018-07-04,13.350000,13.485000,13.310000,13.400000,13.012959,3250243
2018-07-05,13.435000,13.600000,13.355000,13.525000,13.134348,5882057
2018-07-06,13.570000,13.590000,13.485000,13.585000,13.192616,4655854
2018-07-09,13.615000,13.640000,13.510000,13.510000,13.119781,4721658
2018-07-10,13.485000,13.525000,13.365000,13.500000,13.110070,5251845
2018-07-11,13.390000,13.525000,13.390000,13.410000,13.022670,4212361
2018-07-12,13.405000,13.520000,13.355000,13.515000,13.124638,3447353
2018-07-13,13.550000,13.625000,13.520000,13.525000,13.134348,2993331
2018-07-16,13.525000,13.570000,13.355000,13.400000,13.012959,3316323
2018-07-17,13.370000,13.410000,13.290000,13.395000,13.008103,3527728
2018-07-18,13.385000,13.535000,13.360000,13.445000,13.056659,4722756
2018-07-19,13.445000,13.460000,13.315000,13.340000,12.954692,3827645
2018-07-20,13.330000,13.495000,13.275000,13.375000,12.988681,6518213
2018-07-23,13.355000,13.605000,13.330000,13.550000,13.158627,4760986
2018-07-24,13.585000,13.585000,13.410000,13.455000,13.066370,7188905
