Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,46.404999,46.404999,45.845001,46.060001,43.292316,4997867
2018-01-03,46.105000,46.610001,46.105000,46.560001,43.762272,6782657
2018-01-04,46.799999,47.575001,46.799999,47.480000,44.626987,8356524
2018-01-05,47.459999,48.169998,47.459999,47.825001,44.951256,5799220
2018-01-08,48.000000,48.279999,47.845001,48.035000,45.148636,3827349
2018-01-09,48.090000,48.500000,48.044998,48.299999,45.397713,5049979
2018-01-10,48.314999,48.410000,47.900002,48.150002,45.256729,4889380
2018-01-11,48.240002,48.340000,47.919998,48.145000,45.252029,4662759
2018-01-12,48.145000,48.750000,47.915001,48.610001,45.689087,6398070
2018-01-15,48.660000,48.744999,48.384998,48.575001,45.656189,3461491
2018-01-16,48.595001,48.650002,48.064999,48.139999,45.247326,5552216
2018-01-17,47.970001,48.125000,47.650002,47.880001,45.002953,4612458
2018-01-18,47.990002,48.134998,47.389999,47.584999,44.725677,5702316
2018-01-19,47.419998,47.660000,47.110001,47.290001,44.448402,7686936
2018-01-22,47.490002,47.935001,47.424999,47.904999,45.026447,4604302
2018-01-23,48.000000,48.134998,47.450001,47.450001,44.598789,4769882
2018-01-24,47.380001,47.790001,47.305000,47.549999,44.692776,4362733
2018-01-25,47.599998,47.924999,47.290001,47.540001,44.683380,4618268
2018-01-26,47.599998,47.794998,47.430000,47.520000,44.664581,3505520
2018-01-29,47.509998,47.660000,47.125000,47.294998,44.453098,4330813
2018-01-30,46.935001,47.070000,46.439999,46.500000,43.705875,6610587
2018-01-31,46.625000,46.764999,46.404999,46.634998,43.832760,6117529
2018-02-01,47.279999,47.455002,46.775002,47.060001,44.232227,8244692
2018-02-02,47.240002,47.384998,46.070000,46.134998,43.362801,6826348
2018-02-05,45.950001,45.965000,45.325001,45.360001,42.634377,7534505
2018-02-06,43.805000,44.605000,43.090000,43.869999,41.233906,16069236
2018-02-07,44.575001,45.080002,44.014999,44.759998,42.070427,9654886
2018-02-08,45.005001,45.875000,44.705002,45.075001,42.366497,12899019
2018-02-09,45.020000,45.360001,44.340000,44.705002,42.018734,12684742
2018-02-12,45.000000,45.680000,44.805000,45.244999,42.526283,7960852
2018-02-13,45.580002,45.685001,45.150002,45.340000,42.615574,6791773
2018-02-14,45.365002,45.619999,44.639999,45.330002,42.606178,7210798
2018-02-15,45.720001,45.840000,44.985001,45.165001,42.451092,6751372
2018-02-16,45.560001,46.119999,45.275002,45.900002,43.141930,7914797
2018-02-19,45.904999,46.070000,45.814999,45.889999,43.132526,3643917
2018-02-20,46.049999,46.599998,45.959999,46.599998,43.799862,7057664
2018-02-21,46.209999,46.820000,46.189999,46.820000,44.006641,5605350
2018-02-22,46.419998,47.035000,46.224998,46.875000,44.058338,5731624
2018-02-23,46.990002,47.259998,46.855000,47.070000,44.241627,4115792
2018-02-26,47.474998,47.584999,47.160000,47.369999,44.523590,4130822
2018-02-27,47.365002,47.535000,47.070000,47.299999,44.457806,4347082
2018-02-28,47.000000,47.470001,46.775002,46.970001,44.147633,8231213
2018-03-01,46.630001,46.830002,46.115002,46.410000,43.621281,6735051
2018-03-02,46.150002,46.275002,45.259998,45.500000,42.765961,7026769
2018-03-05,45.445000,46.160000,45.400002,45.950001,43.188923,5349417
2018-03-06,46.270000,46.485001,46.044998,46.044998,43.278214,4539655
2018-03-07,45.810001,46.299999,45.785000,46.110001,43.339306,4986824
2018-03-08,46.005001,46.525002,45.919998,46.424999,43.635380,4676586
2018-03-09,46.279999,46.665001,46.255001,46.459999,43.668278,4258818
2018-03-12,46.689999,46.814999,46.400002,46.590000,43.790466,4088976
2018-03-13,46.900002,47.490002,46.705002,46.880001,44.063046,7839152
2018-03-14,46.880001,47.365002,46.794998,47.029999,44.204025,6888809
2018-03-15,47.070000,47.250000,46.900002,46.900002,44.081844,6640475
2018-03-16,46.865002,47.779999,46.840000,47.779999,44.908955,19712754
2018-03-19,46.845001,46.930000,46.134998,46.195000,43.990025,7092469
2018-03-20,46.345001,46.389999,45.755001,46.235001,44.028114,5726286
2018-03-21,46.299999,46.625000,46.035000,46.555000,44.332840,5923941
2018-03-22,46.314999,46.634998,45.805000,46.255001,44.047157,7645861
2018-03-23,45.814999,46.195000,45.580002,45.805000,43.618637,7267624
2018-03-26,45.945000,46.195000,45.625000,45.900002,43.709103,6195818
2018-03-27,46.400002,46.500000,45.830002,46.090000,43.890034,7235270
2018-03-28,45.830002,45.959999,45.595001,45.834999,43.647205,8654871
2018-03-29,45.820000,46.450001,45.685001,46.130001,43.928127,5098808
2018-04-03,46.270000,47.035000,46.235001,46.705002,44.475681,7557631
2018-04-04,47.009998,47.279999,46.669998,47.279999,45.023235,7706321
2018-04-05,47.990002,48.590000,47.575001,48.560001,46.242138,8867065
2018-04-06,48.450001,48.849998,48.250000,48.474998,46.161190,5952589
2018-04-09,48.465000,48.560001,48.154999,48.320000,46.013592,4994629
