Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,62.020000,62.099998,60.619999,61.939999,60.536358,409855
2018-01-03,61.939999,63.459999,61.860001,63.240002,61.806900,552833
2018-01-04,63.860001,64.220001,63.560001,63.959999,62.510582,844657
2018-01-05,64.199997,64.500000,63.340000,64.260002,62.803783,793399
2018-01-08,64.599998,65.599998,64.500000,64.980003,63.507469,946709
2018-01-09,64.940002,66.320000,64.919998,66.260002,64.758461,852089
2018-01-10,66.120003,66.400002,65.419998,65.680000,64.191605,838078
2018-01-11,65.279999,66.139999,65.220001,65.699997,64.211151,663468
2018-01-12,66.120003,66.480003,64.639999,65.220001,63.742031,1130093
2018-01-15,65.099998,65.279999,64.080002,64.480003,63.018803,880175
2018-01-16,64.699997,64.779999,64.160004,64.379997,62.921062,741419
2018-01-17,64.019997,64.980003,63.599998,64.660004,63.194721,623644
2018-01-18,65.000000,65.220001,64.639999,65.000000,63.527012,524525
2018-01-19,64.500000,65.519997,64.360001,65.379997,63.898399,492998
2018-01-22,65.419998,65.680000,65.279999,65.320000,63.839764,480982
2018-01-23,65.959999,66.180000,64.919998,64.919998,63.448826,563839
2018-01-24,65.040001,65.300003,64.339996,64.639999,63.175171,907334
2018-01-25,64.620003,64.860001,63.540001,64.019997,62.569218,698628
2018-01-26,64.220001,64.760002,64.199997,64.400002,62.940613,462013
2018-01-29,64.459999,65.000000,64.180000,64.199997,62.745140,414196
2018-01-30,63.540001,64.400002,63.119999,63.380001,61.943726,812282
2018-01-31,63.619999,64.239998,63.400002,63.500000,62.061005,573039
2018-02-01,63.700001,64.199997,61.900002,62.279999,60.868652,835101
2018-02-02,62.139999,62.419998,61.240002,61.380001,59.989048,892172
2018-02-05,61.099998,61.200001,60.320000,60.680000,59.304913,726378
2018-02-06,58.279999,60.560001,57.220001,59.540001,58.190746,1263666
2018-02-07,60.480000,60.900002,59.680000,60.900002,59.519928,1204336
2018-02-08,60.759998,61.139999,58.939999,59.080002,57.741169,999016
2018-02-09,58.680000,59.439999,57.939999,58.220001,56.900658,777019
2018-02-12,58.900002,59.099998,58.279999,58.500000,57.174313,937171
2018-02-13,58.500000,58.700001,57.799999,58.000000,56.685642,654424
2018-02-14,58.400002,59.779999,57.779999,59.540001,58.190746,920038
2018-02-15,59.900002,60.619999,59.380001,59.860001,58.503494,807702
2018-02-16,60.200001,60.919998,59.820000,60.320000,58.953068,817275
2018-02-19,60.259998,60.580002,59.759998,59.840000,58.483948,352619
2018-02-20,59.740002,60.580002,59.419998,60.580002,59.207180,701344
2018-02-21,60.660000,61.599998,60.320000,61.599998,60.204060,942701
2018-02-22,61.500000,61.980000,60.619999,61.660000,60.262703,826427
2018-02-23,56.200001,57.060001,54.160000,54.820000,53.577705,4639274
