Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,43.244999,43.615002,42.730000,43.165001,40.741238,3180109
2018-01-03,43.345001,43.669998,43.014999,43.369999,40.934727,3325903
2018-01-04,43.764999,44.889999,43.650002,44.435001,41.939926,5878125
2018-01-05,44.689999,45.290001,44.570000,45.075001,42.543991,4395702
2018-01-08,45.400002,45.450001,44.935001,45.134998,42.600620,3743311
2018-01-09,45.240002,45.424999,45.064999,45.174999,42.638374,2599941
2018-01-10,45.099998,46.325001,45.055000,46.130001,43.539753,5253848
2018-01-11,46.259998,46.730000,45.770000,46.570000,43.955044,4510826
2018-01-12,46.889999,46.889999,45.535000,46.459999,43.851219,4405201
2018-01-15,46.500000,46.564999,46.160000,46.360001,43.756836,2173249
2018-01-16,46.360001,46.695000,45.915001,46.084999,43.497276,2808935
2018-01-17,45.685001,45.764999,45.029999,45.285000,42.742199,4968047
2018-01-18,45.070000,45.334999,44.779999,45.130001,42.595901,3888065
2018-01-19,45.270000,45.590000,45.139999,45.330002,42.784672,3148111
2018-01-22,45.299999,46.320000,45.055000,46.000000,43.417049,3440837
2018-01-23,46.205002,46.294998,45.825001,46.110001,43.520874,3703626
2018-01-24,46.044998,46.480000,45.959999,46.000000,43.417049,2555019
2018-01-25,46.014999,46.619999,45.924999,46.465000,43.855938,3892830
2018-01-26,46.465000,47.000000,46.259998,46.700001,44.077744,3095368
2018-01-29,46.884998,47.279999,46.814999,47.200001,44.549667,3546097
2018-01-30,46.860001,46.945000,46.465000,46.764999,44.139095,4250374
2018-01-31,46.770000,46.865002,46.505001,46.855000,44.224041,3235016
2018-02-01,47.200001,47.505001,46.125000,46.645000,44.025833,4257496
2018-02-02,46.509998,46.575001,45.834999,45.924999,43.346260,5053669
2018-02-05,45.490002,45.935001,45.070000,45.320000,42.775230,4600009
2018-02-06,43.805000,44.834999,43.525002,43.910000,41.444405,8405416
2018-02-07,44.360001,44.814999,43.619999,44.264999,41.779472,5505314
2018-02-08,46.400002,46.994999,45.064999,45.130001,42.595901,7110344
2018-02-09,44.965000,45.000000,43.485001,44.134998,41.656769,7808172
2018-02-12,44.599998,45.139999,44.369999,44.525002,42.024876,4477997
2018-02-13,44.570000,44.990002,44.415001,44.549999,42.048470,3757917
2018-02-14,44.919998,45.970001,44.715000,45.599998,43.039509,6765255
2018-02-15,46.200001,46.810001,45.924999,46.224998,43.629414,4741559
2018-02-16,46.465000,46.775002,46.275002,46.520000,43.907852,3963757
2018-02-19,46.665001,46.910000,46.435001,46.459999,43.851219,1679155
2018-02-20,46.459999,46.535000,45.904999,46.255001,43.657734,3545124
2018-02-21,46.134998,46.669998,45.814999,46.404999,43.799309,2761652
2018-02-22,46.165001,46.799999,46.075001,46.680000,44.058868,2986898
2018-02-23,46.700001,46.740002,46.349998,46.535000,43.922009,1724395
2018-02-26,46.770000,46.904999,45.970001,46.375000,43.770992,2619265
2018-02-27,46.435001,47.240002,46.250000,46.875000,44.242916,3633190
2018-02-28,46.615002,47.490002,46.509998,47.119999,44.474159,3698645
2018-03-01,46.830002,47.000000,46.110001,46.580002,43.964485,3931493
2018-03-02,46.134998,46.224998,44.775002,45.189999,42.652531,5430466
2018-03-05,44.884998,45.639999,44.785000,45.090000,42.558147,3243319
2018-03-06,45.485001,46.220001,45.465000,45.720001,43.152775,3631324
2018-03-07,45.555000,46.055000,45.240002,45.930000,43.350979,2608591
2018-03-08,46.025002,46.520000,45.619999,46.150002,43.558628,3010654
2018-03-09,45.994999,46.220001,45.669998,45.970001,43.388737,2617658
2018-03-12,46.215000,46.334999,45.764999,46.060001,43.473682,1805518
2018-03-13,46.200001,46.555000,45.480000,45.645000,43.081985,3073595
2018-03-14,45.610001,45.689999,44.840000,45.064999,42.534550,3152606
2018-03-15,43.200001,44.805000,43.150002,44.764999,42.251396,6849712
2018-03-16,44.669998,45.514999,44.575001,45.185001,42.647816,7380799
2018-03-19,45.200001,46.189999,45.145000,45.580002,43.020634,3838741
2018-03-20,45.665001,45.900002,45.294998,45.459999,42.907372,2099682
2018-03-21,45.375000,45.564999,44.674999,45.095001,42.562866,2564538
2018-03-22,44.680000,44.845001,43.365002,44.105000,41.628456,5295718
2018-03-23,43.660000,43.730000,43.189999,43.549999,41.104618,4317841
2018-03-26,43.654999,43.775002,42.915001,43.259998,40.830902,3093353
2018-03-27,44.000000,44.220001,43.794998,43.860001,41.397213,3864386
2018-03-28,43.384998,43.939999,42.965000,43.939999,41.472721,4006798
2018-03-29,44.119999,44.605000,44.014999,44.160000,41.680367,3278085
2018-04-03,43.805000,44.105000,43.450001,43.740002,41.283955,2383311
2018-04-04,43.709999,43.724998,42.590000,43.424999,40.986637,3285755
2018-04-05,44.165001,45.020000,44.139999,44.630001,42.123978,4305955
2018-04-06,44.709999,44.805000,44.310001,44.520000,42.020153,2976761
2018-04-09,44.814999,44.980000,43.735001,44.250000,41.765316,3271091
2018-04-10,44.419998,44.450001,43.759998,44.205002,41.722843,3021663
2018-04-11,44.044998,44.150002,43.669998,43.930000,41.463284,2806057
2018-04-12,44.035000,44.424999,43.919998,44.215000,41.732281,2656940
2018-04-13,44.340000,44.895000,44.060001,44.240002,41.755878,2675454
2018-04-16,44.200001,44.555000,44.049999,44.430000,41.935207,2056571
2018-04-17,44.720001,44.994999,44.634998,44.660000,42.152290,2934352
2018-04-18,44.610001,45.044998,44.610001,44.970001,42.444885,2596997
2018-04-19,44.869999,45.419998,44.825001,45.264999,42.723320,2754871
2018-04-20,45.264999,45.634998,45.139999,45.595001,43.034794,2894109
2018-04-23,45.549999,46.000000,45.505001,46.000000,43.417049,2846615
2018-04-24,45.869999,45.955002,45.580002,45.805000,43.232998,2519268
2018-04-25,45.514999,45.814999,45.400002,45.744999,43.176369,2347434
2018-04-26,45.625000,45.880001,45.365002,45.540001,42.982880,2363321
2018-04-27,45.544998,45.665001,45.064999,45.340000,42.794109,2567800
2018-04-30,45.325001,45.660000,45.294998,45.455002,42.902653,2185395
2018-05-02,45.220001,45.919998,45.220001,45.415001,42.864899,3809771
2018-05-03,45.669998,45.849998,44.764999,44.900002,42.378819,4260115
2018-05-04,42.099998,42.994999,41.580002,42.580002,40.189087,12900979
2018-05-07,42.564999,42.580002,41.965000,42.270000,39.896492,3380559
2018-05-08,42.209999,42.459999,41.779999,42.180000,39.811546,3378409
2018-05-09,42.150002,42.520000,42.110001,42.330002,39.953125,3655704
