Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,364.342010,365.178986,354.583008,356.627991,348.564026,169055
2018-01-03,357.371002,361.368011,357.371002,360.809998,352.651459,193951
2018-01-04,363.412994,370.755005,363.226990,370.290009,361.917084,273097
2018-01-05,370.382996,373.450989,366.851990,373.450989,365.006592,179250
2018-01-08,373.729004,374.286987,368.709991,369.174988,360.827301,167998
2018-01-09,370.011993,374.937988,369.268005,374.937988,366.459991,170274
2018-01-10,374.937988,383.395996,372.614014,383.395996,374.726746,350480
2018-01-11,383.859985,384.882996,377.167999,379.584991,371.001892,253091
2018-01-12,383.582001,385.718994,370.382996,380.049988,371.456421,459131
2018-01-15,379.027008,379.027008,371.871002,373.171997,366.663483,167514
2018-01-16,373.636993,376.610992,371.963989,374.845001,368.307312,164026
2018-01-17,374.845001,380.420990,372.242004,374.007996,367.484894,181206
2018-01-18,375.123993,376.518005,370.197998,372.520996,366.023834,159529
2018-01-19,375.217010,383.859985,374.286987,383.023987,376.343658,290213
2018-01-22,382.372986,383.953003,379.770996,380.420990,373.786072,145088
2018-01-23,382.931000,384.139008,379.027008,381.908997,375.248138,134507
2018-01-24,382.187012,382.187012,377.540009,377.540009,370.955322,129810
2018-01-25,376.610992,379.584991,369.919006,373.171997,366.663483,205661
2018-01-26,375.959991,387.950012,375.494995,383.023987,376.343658,309550
2018-01-29,382.279999,382.931000,376.145996,376.424988,369.859741,202602
2018-01-30,374.937988,380.049988,374.566010,376.610992,370.042511,136866
2018-01-31,377.632996,380.049988,376.704010,379.027008,372.416382,152352
2018-02-01,379.398987,380.049988,375.867004,379.584991,372.964630,117686
2018-02-02,378.562988,378.562988,368.153015,368.524994,362.097565,205802
2018-02-05,364.062988,367.408997,358.114990,361.460999,355.156738,300415
2018-02-06,349.098999,356.907013,343.429993,347.798004,341.732056,462618
2018-02-07,352.537994,362.669006,349.842987,361.088989,354.791229,340017
2018-02-08,358.950989,358.950989,345.752991,346.032013,339.996887,293360
2018-02-09,343.523010,347.239990,338.131989,341.013000,335.065369,423012
2018-02-12,344.638000,353.932007,344.265991,353.188995,347.029022,429315
2018-02-13,351.423004,354.489990,338.688995,339.247009,333.330200,658980
2018-02-14,343.800995,359.044006,339.712006,357.463989,351.229462,547962
2018-02-15,365.735992,367.036987,360.531006,364.807007,358.444397,324506
2018-02-16,365.457001,366.386993,360.903015,364.899994,358.535767,256010
2018-02-19,368.338989,368.709991,360.345001,362.018005,355.704041,128621
2018-02-20,362.204010,364.434998,360.623993,362.669006,356.343689,147541
2018-02-21,363.412994,367.502014,360.903015,367.502014,361.092407,192043
2018-02-22,364.342010,368.524994,362.018005,366.294006,359.905457,215642
2018-02-23,367.036987,367.595001,362.761993,364.156006,357.804779,131272
2018-02-26,365.829010,369.919006,365.549988,368.338989,361.914795,111382
2018-02-27,371.778015,371.778015,363.412994,364.899994,358.535767,116777
2018-02-28,363.412994,365.178986,360.623993,360.623993,354.334320,221511
2018-03-01,362.296997,364.248993,356.721008,357.371002,351.138092,227489
2018-03-02,354.397003,355.790985,346.868988,348.726990,342.644836,265218
2018-03-05,348.634003,356.535004,348.263000,355.697998,349.494263,170672
