Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,119.650002,120.050003,117.400002,120.050003,116.495560,286380
2018-01-03,120.050003,121.599998,119.849998,121.400002,117.805588,331957
2018-01-04,122.250000,124.250000,122.150002,123.449997,119.794891,776051
2018-01-05,123.449997,126.000000,123.449997,125.949997,122.220871,594737
2018-01-08,125.949997,128.399994,125.849998,127.300003,123.530907,584385
2018-01-09,127.300003,130.199997,127.300003,129.800003,125.956886,659783
2018-01-10,129.750000,130.100006,127.900002,128.850006,125.035011,570523
2018-01-11,128.850006,129.000000,127.599998,128.449997,124.646851,481968
2018-01-12,128.750000,129.649994,127.800003,128.850006,125.035011,457343
2018-01-15,128.500000,128.850006,127.699997,128.000000,124.210175,308967
2018-01-16,128.250000,130.350006,128.250000,130.149994,126.296509,621915
2018-01-17,130.000000,130.850006,128.699997,129.699997,125.859840,541788
2018-01-18,130.250000,130.500000,127.050003,127.900002,124.113136,703297
2018-01-19,127.800003,130.000000,127.800003,129.500000,125.665764,455234
2018-01-22,129.399994,129.500000,128.149994,128.550003,124.743896,336092
2018-01-23,129.250000,129.449997,127.199997,127.199997,123.433861,464834
2018-01-24,127.550003,128.250000,126.449997,126.599998,122.851624,496833
2018-01-25,126.300003,128.500000,125.550003,126.650002,122.900146,506237
2018-01-26,129.000000,129.949997,127.900002,129.500000,125.665764,493986
2018-01-29,129.649994,130.600006,129.000000,129.250000,125.423164,358033
2018-01-30,128.550003,130.399994,127.650002,128.550003,124.743896,576723
2018-01-31,128.850006,130.649994,128.649994,128.800003,124.986488,504858
2018-02-01,129.300003,130.399994,127.550003,127.900002,124.113136,433997
2018-02-02,127.199997,127.500000,124.349998,125.500000,121.784195,655436
2018-02-05,124.949997,125.349998,123.050003,123.300003,119.649338,465227
2018-02-06,118.699997,124.449997,117.500000,123.449997,119.794891,963012
2018-02-07,125.550003,126.699997,123.650002,126.550003,122.803108,668887
2018-02-08,126.000000,126.500000,123.150002,123.500000,119.843414,596691
2018-02-09,122.699997,124.349998,121.000000,122.050003,118.436348,676097
2018-02-12,123.550003,126.349998,122.650002,125.300003,121.590118,700533
2018-02-13,125.300003,125.300003,121.550003,122.699997,119.067093,747323
2018-02-14,123.550003,125.349998,121.050003,124.250000,120.571205,638953
2018-02-15,124.500000,125.750000,122.650002,123.150002,119.503777,691513
2018-02-16,123.449997,126.650002,123.449997,126.199997,122.463463,650928
2018-02-19,127.000000,127.000000,124.400002,124.550003,120.862328,320584
2018-02-20,124.400002,126.300003,123.750000,126.300003,122.560509,505156
2018-02-21,126.199997,127.650002,124.949997,127.650002,123.870537,355163
2018-02-22,126.650002,127.050003,125.099998,125.949997,122.220871,399571
2018-02-23,126.400002,126.500000,124.900002,125.300003,121.590118,436643
2018-02-26,125.949997,126.800003,125.650002,126.349998,122.609024,346893
2018-02-27,126.500000,127.449997,125.650002,126.400002,122.657547,399691
2018-02-28,126.050003,127.050003,125.800003,126.699997,122.948662,372246
2018-03-01,126.699997,127.550003,124.099998,124.250000,120.571205,625618
2018-03-02,123.500000,124.099998,121.599998,122.050003,118.436348,589185
2018-03-05,121.400002,123.949997,120.400002,122.650002,119.018578,782799
2018-03-06,123.800003,124.199997,122.099998,122.099998,118.484863,628959
2018-03-07,121.599998,123.800003,120.849998,122.550003,118.921539,762142
