Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,71.800003,72.080002,71.059998,71.760002,67.616852,2239762
2018-01-03,72.000000,72.389999,71.370003,72.070000,67.908951,2166624
2018-01-04,72.419998,73.680000,72.260002,73.000000,68.785255,2738123
2018-01-05,72.820000,74.570000,72.820000,74.360001,70.066734,2568891
2018-01-08,74.400002,75.230003,74.070000,74.349998,70.057312,1837618
2018-01-09,74.500000,74.910004,74.239998,74.239998,69.953659,2291517
2018-01-10,74.000000,74.230003,72.940002,73.339996,69.105629,2567570
2018-01-11,73.550003,73.639999,72.690002,72.900002,68.691032,2308330
2018-01-12,73.120003,73.730003,72.660004,73.669998,69.416565,2300339
2018-01-15,73.320000,73.639999,72.959999,73.199997,68.973709,1558363
2018-01-16,73.150002,73.800003,73.010002,73.400002,69.162163,2053311
2018-01-17,73.019997,73.580002,72.620003,72.870003,68.662766,2291071
2018-01-18,73.120003,73.209999,72.260002,72.370003,68.191628,2429367
2018-01-19,72.370003,73.169998,72.209999,72.949997,68.738129,2264166
2018-01-22,71.500000,71.500000,69.790001,70.830002,66.740547,6558534
2018-01-23,70.099998,72.120003,70.089996,71.180000,67.070343,4183157
2018-01-24,71.830002,72.489998,71.290001,72.000000,67.842987,3494492
2018-01-25,71.989998,73.190002,71.839996,72.250000,68.078552,2662122
2018-01-26,72.419998,73.879997,72.419998,73.480003,69.237541,3557536
2018-01-29,73.269997,73.559998,72.339996,72.900002,68.691032,2519408
2018-01-30,72.860001,73.510002,71.940002,72.309998,68.135094,3788642
2018-01-31,72.029999,72.410004,70.870003,71.120003,67.013794,3537365
2018-02-01,71.180000,71.709999,70.120003,70.360001,66.297684,2627606
2018-02-02,70.050003,70.269997,69.660004,69.949997,65.911346,2884251
2018-02-05,69.629997,69.709999,69.019997,69.019997,65.432587,3403365
2018-02-06,67.550003,68.779999,67.360001,67.519997,64.010559,6382784
2018-02-07,66.589996,68.110001,65.360001,66.709999,63.242657,6971534
2018-02-08,65.599998,66.550003,64.739998,65.089996,61.706863,5044063
2018-02-09,65.089996,65.330002,63.090000,63.389999,60.095222,4982916
2018-02-12,64.489998,64.949997,64.290001,64.290001,60.948444,3782129
2018-02-13,64.080002,64.269997,63.540001,63.570000,60.265865,3593155
2018-02-14,63.790001,64.330002,63.340000,63.889999,60.569233,3253039
2018-02-15,63.889999,64.099998,63.259998,63.500000,60.199505,2820889
2018-02-16,63.680000,64.879997,63.570000,64.500000,61.147533,3675375
2018-02-19,64.620003,64.800003,64.110001,64.300003,60.957928,1242402
2018-02-20,64.199997,64.610001,64.029999,64.550003,61.194931,1951416
2018-02-21,64.160004,64.910004,63.950001,64.699997,61.337128,1820445
2018-02-22,64.510002,65.129997,64.269997,64.889999,61.517262,2088921
2018-02-23,65.010002,65.220001,64.419998,65.050003,61.668941,1434698
2018-02-26,65.320000,65.870003,65.279999,65.519997,62.114510,2129505
2018-02-27,65.779999,65.820000,65.260002,65.580002,62.171394,2323971
2018-02-28,65.199997,65.730003,64.839996,65.029999,61.649979,2454644
2018-03-01,64.940002,65.260002,64.320000,64.650002,61.289738,2974078
2018-03-02,64.080002,64.239998,63.279999,63.400002,60.104706,2617608
2018-03-05,63.259998,64.680000,63.130001,64.500000,61.147533,3263175
2018-03-06,64.889999,65.190002,63.650002,63.700001,60.389111,3863354
2018-03-07,63.480000,64.320000,63.230000,64.080002,60.749363,1839134
2018-03-08,64.099998,65.239998,63.689999,64.910004,61.536224,2851377
